Year,Unnamed: 0,GEOID,TTI,PTI,BTI,Peak,w_geocode,Population,Jobs,Jobs_Capita,Severity,Variability
2020,684,150030001071,1.1220586814275453,1.5268559468423792,0.0032532075123363,am,150030001071.0,1308.0,222.0,5.891891891891892,1.3244573141349623,1.3607630083123892
2020,685,150030001101,1.1220586814275453,1.5268559468423797,0.0032532075123363,am,150030001101.0,1727.0,55.0,31.4,1.3244573141349625,1.3607630083123896
2020,686,150030001102,1.132093086968001,1.7170704408461794,0.0054723600492402,am,150030001102.0,822.0,18.0,45.666666666666664,1.4245817639070903,1.5167219556519675
2020,687,150030001103,1.1220586814275453,1.5268559468423797,0.0032532075123363,am,150030001103.0,1137.0,84.0,13.535714285714286,1.3244573141349625,1.3607630083123896
2020,688,150030001104,1.1270758841977733,1.6219631938442796,0.0043627837807882,am,150030001104.0,335.0,108.0,3.1018518518518516,1.3745195390210263,1.4390896093023549
2020,689,150030001141,1.141780125687842,1.396914665672293,0.0037732535423881,am,150030001141.0,626.0,19.0,32.94736842105263,1.2693473956800676,1.223453302649449
2020,690,150030001142,1.141780125687842,1.3969146656722933,0.0037732535423882,am,150030001142.0,922.0,44.0,20.954545454545453,1.2693473956800676,1.2234533026494492
2020,691,150030001202,1.1220586814275453,1.5268559468423797,0.0032532075123363,am,150030001202.0,707.0,108.0,6.546296296296297,1.3244573141349625,1.3607630083123896
2020,692,150030001203,1.1220586814275453,1.5268559468423797,0.0032532075123363,am,150030001203.0,856.0,24.0,35.666666666666664,1.3244573141349625,1.3607630083123896
2020,693,150030001212,1.1369366063279214,1.5569925532592364,0.0046228067958142,am,150030001212.0,717.0,1003.0,0.7148554336989033,1.3469645797935788,1.369462945069569
2020,694,150030001221,1.132093086968001,1.7170704408461794,0.0054723600492402,am,150030001221.0,1207.0,36.0,33.52777777777778,1.4245817639070903,1.5167219556519675
2020,695,150030001222,1.132093086968001,1.7170704408461797,0.0054723600492402,am,150030001222.0,1049.0,193.0,5.435233160621761,1.4245817639070903,1.5167219556519678
2020,696,150030001223,1.132093086968001,1.7170704408461794,0.0054723600492402,am,150030001223.0,744.0,74.0,10.054054054054054,1.4245817639070903,1.5167219556519675
2020,697,150030003022,1.1537282406064144,1.5967813484675817,0.2427726994456426,am,150030003022.0,1421.0,441.0,3.2222222222222223,1.375254794536998,1.3840186035736568
2020,698,150030004011,1.1440883518079823,1.5855628277869631,0.1019370380660946,am,150030004011.0,563.0,492.0,1.1443089430894309,1.3648255897974728,1.385874460902715
2020,699,150030004022,1.1676901764269965,1.605068645616423,0.0103620520296594,am,150030004022.0,2327.0,122.0,19.07377049180328,1.3863794110217098,1.3745672251245244
2020,700,150030004023,1.1676901764269965,1.6050686456164232,0.0103620520296594,am,150030004023.0,564.0,66.0,8.545454545454545,1.3863794110217098,1.3745672251245247
2020,701,150030005001,1.224493165427058,1.7932958631288602,0.0877138599130181,am,150030005001.0,742.0,182.0,4.076923076923077,1.508894514277959,1.4645209248705156
2020,702,150030005002,1.3063161737860534,2.049288061336254,0.0748188412316996,am,150030005002.0,565.0,2182.0,0.2589367552703941,1.6778021175611537,1.5687534935718277
2020,703,150030005005,1.198098775743332,1.7685608918123077,0.6037573136220936,am,150030005005.0,935.0,778.0,1.2017994858611825,1.4833298337778198,1.4761394699823862
2020,704,150030007002,1.1940442017961468,2.5661829780012204,0.105881338380885,am,150030007002.0,673.0,169.0,3.9822485207100593,1.8801135898986836,2.149152413403982
2020,705,150030008001,1.106582216629277,2.858433711843967,0.1077166527467913,am,150030008001.0,1238.0,116.0,10.672413793103448,1.9825079642366221,2.5831191473065114
2020,706,150030009012,1.2014480464037305,2.513861633779334,0.1229028713665344,am,150030009012.0,1409.0,433.0,3.2540415704387993,1.857654840091532,2.092359833039825
2020,707,150030009031,1.2295592668340298,3.1172272586495846,0.1255924475008669,am,150030009031.0,1133.0,44.0,25.75,2.1733932627418073,2.535239530727199
2020,708,150030013001,1.068219105099015,1.189838556350242,0.1485645271025485,am,150030013001.0,894.0,199.0,4.492462311557789,1.1290288307246286,1.1138525333152076
2020,709,150030013003,1.15061348954206,2.366606807055235,0.2878065322708099,am,150030013003.0,1179.0,721.0,1.6352288488210818,1.7586101482986476,2.0568217116915046
2020,710,150030013004,1.0709543844164653,2.7249072548307334,0.2585144035571553,am,150030013004.0,765.0,1798.0,0.42547274749721914,1.8979308196235993,2.5443728458289687
2020,711,150030019011,1.6229051560886807,2.350496562125506,0.1110609139441069,am,150030019011.0,251.0,11696.0,0.02146032831737346,1.9867008591070934,1.4483265108297354
2020,712,150030019051,1.4112097481139367,2.1007710033028184,0.0154857268201815,am,150030019051.0,601.0,40.0,15.025,1.7559903757083775,1.4886313009887235
2020,713,150030019052,1.4112097481139367,2.1007710033028184,0.0154857268201815,am,150030019052.0,952.0,194.0,4.907216494845361,1.7559903757083775,1.4886313009887235
2020,714,150030019061,1.4739172388650508,2.1650938575162915,0.074145174751107,am,150030019061.0,508.0,259.0,1.9613899613899615,1.819505548190671,1.4689385539607789
2020,715,150030019073,1.4112097481139367,2.1007710033028184,0.0154857268201815,am,150030019073.0,521.0,39.0,13.35897435897436,1.7559903757083775,1.4886313009887235
2020,716,150030020052,1.5993322203672788,2.2937395659432376,0.191464070612958,am,150030020052.0,876.0,463.0,1.8920086393088553,1.946535893155258,1.4341858037578281
2020,717,150030021022,1.5605300075231705,2.9591181280743424,0.3384250581954701,am,150030021022.0,1273.0,738.0,1.7249322493224932,2.2598240677987564,1.89622635502599
